,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
162,162.0,162.0,162.0,2019-04-17,7705.319824,7715.069824,7659.850098,7680.720215,7680.720215,2317330000
163,163.0,163.0,163.0,2019-04-18,7688.930176,7694.180176,7647.399902,7689.720215,7689.720215,2124630000
164,164.0,164.0,164.0,2019-04-22,7658.370117,7715.330078,7653.890137,7713.490234,7713.490234,1790990000
165,165.0,165.0,165.0,2019-04-23,7724.169922,7819.339844,7719.089844,7810.709961,7810.709961,2099410000
166,166.0,166.0,166.0,2019-04-24,7813.02002,7827.049805,7783.589844,7784.410156,7784.410156,2043310000
167,167.0,167.0,167.0,2019-04-25,7850.709961,7851.970215,7778.22998,7816.919922,7816.919922,2073370000
168,168.0,168.0,168.0,2019-04-26,7791.149902,7826.890137,7742.600098,7826.680176,7826.680176,1982560000
169,169.0,169.0,169.0,2019-04-29,7825.640137,7851.850098,7812.970215,7839.040039,7839.040039,1781860000
170,170.0,170.0,170.0,2019-04-30,7769.299805,7792.319824,7726.069824,7781.459961,7781.459961,2131850000
171,171.0,171.0,171.0,2019-05-01,7828.140137,7851.029785,7749.740234,7751.850098,7751.850098,2273540000
172,172.0,172.0,172.0,2019-05-02,7751.640137,7791.509766,7672.540039,7724.060059,7724.060059,2211530000
173,173.0,173.0,173.0,2019-05-03,7784.290039,7847.52002,7772.439941,7845.72998,7845.72998,2081080000
174,174.0,174.0,174.0,2019-05-06,7662.919922,7804.540039,7662.919922,7794.089844,7794.089844,1979650000
175,175.0,175.0,175.0,2019-05-07,7713.490234,7743.060059,7572.609863,7640.149902,7640.149902,2397600000
176,176.0,176.0,176.0,2019-05-08,7623.319824,7678.819824,7593.75,7617.549805,7617.549805,2214680000
177,177.0,177.0,177.0,2019-05-09,7525.810059,7605.029785,7472.709961,7582.75,7582.75,2549500000
178,178.0,178.0,178.0,2019-05-10,7556.040039,7623.009766,7426.75,7586.529785,7586.529785,2421470000
179,179.0,179.0,179.0,2019-05-13,7385.549805,7433.919922,7303.640137,7324.129883,7324.129883,2484820000
180,180.0,180.0,180.0,2019-05-14,7366.640137,7449.029785,7337.939941,7401.879883,7401.879883,2103140000
181,181.0,181.0,181.0,2019-05-15,7354.819824,7524.220215,7353.899902,7503.25,7503.25,2014080000
182,182.0,182.0,182.0,2019-05-16,7509.910156,7627.029785,7502.759766,7580.140137,7580.140137,2168720000
183,183.0,183.0,183.0,2019-05-17,7513.149902,7605.669922,7496.919922,7503.680176,7503.680176,2176380000
184,184.0,184.0,184.0,2019-05-20,7391.72998,7424.589844,7351.919922,7376.700195,7376.700195,2130700000
185,185.0,185.0,185.0,2019-05-21,7442.310059,7472.709961,7417.069824,7451.02002,7451.02002,2000130000
186,186.0,186.0,186.0,2019-05-22,7413.839844,7458.109863,7410.709961,7420.660156,7420.660156,1884660000
187,187.0,187.0,187.0,2019-05-23,7331.669922,7337.470215,7261.459961,7307.930176,7307.930176,2270530000
188,188.0,188.0,188.0,2019-05-24,7353.970215,7371.299805,7294.100098,7300.959961,7300.959961,1685230000
189,189.0,189.0,189.0,2019-05-28,7321.27002,7362.290039,7274.700195,7278.379883,7278.379883,2378470000
190,190.0,190.0,190.0,2019-05-29,7222.549805,7254.200195,7176.669922,7216.859863,7216.859863,2282120000
191,191.0,191.0,191.0,2019-05-30,7234.830078,7262.77002,7204.419922,7245.399902,7245.399902,1875180000
192,192.0,192.0,192.0,2019-05-31,7148.709961,7183.22998,7125.970215,7127.959961,7127.959961,2239420000
193,193.0,193.0,193.0,2019-06-03,7110.339844,7126.430176,6936.680176,6978.02002,6978.02002,2580670000
194,194.0,194.0,194.0,2019-06-04,7056.180176,7169.790039,7023.089844,7166.75,7166.75,2374130000
195,195.0,195.0,195.0,2019-06-05,7230.810059,7235.22998,7146.430176,7220.899902,7220.899902,2139290000
196,196.0,196.0,196.0,2019-06-06,7229.859863,7293.220215,7201.589844,7275.930176,7275.930176,2093470000
197,197.0,197.0,197.0,2019-06-07,7315.330078,7445.990234,7309.009766,7417.290039,7417.290039,2074120000
198,198.0,198.0,198.0,2019-06-10,7472.600098,7573.0,7468.169922,7501.930176,7501.930176,2042340000
199,199.0,199.0,199.0,2019-06-11,7584.75,7595.569824,7489.990234,7513.850098,7513.850098,2121150000
200,200.0,200.0,200.0,2019-06-12,7493.549805,7507.52002,7459.200195,7472.290039,7472.290039,1978930000
201,201.0,201.0,201.0,2019-06-13,7500.850098,7530.910156,7487.089844,7510.680176,7510.680176,1848360000
202,202.0,202.0,202.0,2019-06-14,7476.470215,7500.740234,7454.870117,7479.109863,7479.109863,1808370000
203,203.0,203.0,203.0,2019-06-17,7500.279785,7546.990234,7492.169922,7526.52002,7526.52002,1950550000
204,204.0,204.0,204.0,2019-06-18,7606.609863,7689.080078,7595.589844,7635.399902,7635.399902,2250550000
205,205.0,205.0,205.0,2019-06-19,7652.52002,7681.560059,7606.279785,7667.740234,7667.740234,2027520000
206,206.0,206.0,206.0,2019-06-20,7770.169922,7770.609863,7681.430176,7738.049805,7738.049805,2108250000
207,207.0,207.0,207.0,2019-06-21,7719.419922,7772.529785,7708.25,7728.779785,7728.779785,2909540000
208,208.0,208.0,208.0,2019-06-24,7737.0,7746.680176,7720.779785,7723.02002,7723.02002,2073470000
209,209.0,209.0,209.0,2019-06-25,7720.910156,7723.040039,7584.169922,7591.540039,7591.540039,2132550000
210,210.0,210.0,210.0,2019-06-26,7642.919922,7688.640137,7616.910156,7627.049805,7627.049805,2122730000
211,211.0,211.0,211.0,2019-06-27,7656.680176,7672.97998,7636.720215,7657.049805,7657.049805,2083920000
212,212.0,212.0,212.0,2019-06-28,7674.52002,7682.259766,7639.450195,7671.080078,7671.080078,4101490000
213,213.0,213.0,213.0,2019-07-01,7816.560059,7820.810059,7735.669922,7768.140137,7768.140137,2219030000
214,214.0,214.0,214.0,2019-07-02,7763.029785,7800.470215,7746.009766,7799.819824,7799.819824,1956590000
215,215.0,215.0,215.0,2019-07-03,7819.060059,7857.689941,7811.290039,7857.689941,7857.689941,1548240000
216,216.0,216.0,216.0,2019-07-05,7806.069824,7854.709961,7774.589844,7841.299805,7841.299805,1690700000
217,217.0,217.0,217.0,2019-07-08,7790.459961,7841.299805,7756.109863,7785.790039,7785.790039,1957160000
218,218.0,218.0,218.0,2019-07-09,7748.290039,7833.930176,7748.22998,7826.859863,7826.859863,1871430000
219,219.0,219.0,219.0,2019-07-10,7869.72998,7923.930176,7858.680176,7903.399902,7903.399902,2066640000
220,220.0,220.0,220.0,2019-07-11,7918.649902,7934.600098,7873.160156,7896.779785,7896.779785,1970690000
221,221.0,221.0,221.0,2019-07-12,7908.580078,7944.080078,7900.390137,7943.240234,7943.240234,1835960000
222,222.0,222.0,222.0,2019-07-15,7961.069824,7969.790039,7940.450195,7966.930176,7966.930176,1790770000
223,223.0,223.0,223.0,2019-07-16,7958.439941,7965.759766,7904.950195,7927.080078,7927.080078,1947010000
224,224.0,224.0,224.0,2019-07-17,7927.910156,7941.100098,7887.97998,7888.759766,7888.759766,1887120000
225,225.0,225.0,225.0,2019-07-18,7850.120117,7912.330078,7827.490234,7904.129883,7904.129883,2063790000
226,226.0,226.0,226.0,2019-07-19,7944.859863,7950.220215,7832.390137,7834.899902,7834.899902,1893050000
227,227.0,227.0,227.0,2019-07-22,7862.379883,7918.470215,7862.27002,7905.120117,7905.120117,1860440000
228,228.0,228.0,228.0,2019-07-23,7946.049805,7955.089844,7895.049805,7954.560059,7954.560059,1845050000
229,229.0,229.0,229.0,2019-07-24,7928.779785,8010.830078,7926.990234,8010.609863,8010.609863,1953670000
230,230.0,230.0,230.0,2019-07-25,7979.140137,7983.959961,7921.209961,7929.870117,7929.870117,2058090000
231,231.0,231.0,231.0,2019-07-26,7992.129883,8027.180176,7986.720215,8016.950195,8016.950195,1975110000
232,232.0,232.0,232.0,2019-07-29,8010.049805,8010.049805,7939.97998,7989.080078,7989.080078,1882980000
233,233.0,233.0,233.0,2019-07-30,7927.560059,7983.109863,7923.450195,7952.470215,7952.470215,1893610000
234,234.0,234.0,234.0,2019-07-31,7972.759766,7979.200195,7774.930176,7848.779785,7848.779785,2679230000
235,235.0,235.0,235.0,2019-08-01,7866.600098,8000.939941,7769.02002,7801.149902,7801.149902,2815420000
236,236.0,236.0,236.0,2019-08-02,7740.910156,7755.089844,7645.180176,7692.799805,7692.799805,2262550000
237,237.0,237.0,237.0,2019-08-05,7510.02002,7528.899902,7356.27002,7415.689941,7415.689941,2661780000
238,238.0,238.0,238.0,2019-08-06,7492.02002,7541.740234,7432.310059,7521.319824,7521.319824,2217620000
239,239.0,239.0,239.0,2019-08-07,7436.140137,7569.899902,7386.390137,7551.899902,7551.899902,2470170000
240,240.0,240.0,240.0,2019-08-08,7608.029785,7726.459961,7576.819824,7724.830078,7724.830078,2442950000
241,241.0,241.0,241.0,2019-08-09,7684.560059,7709.509766,7591.140137,7646.27002,7646.27002,2221180000
242,242.0,242.0,242.0,2019-08-12,7597.189941,7623.439941,7528.950195,7561.680176,7561.680176,2068920000
243,243.0,243.0,243.0,2019-08-13,7553.430176,7778.339844,7553.330078,7728.149902,7728.149902,2353570000
244,244.0,244.0,244.0,2019-08-14,7594.640137,7621.700195,7480.580078,7490.129883,7490.129883,2543670000
