Date,Close/Last,Volume,Open,High,Low
12/04/2019,8296.53,--,8291.86,8316.46,8285.88
12/03/2019,8254.74,--,8201.63,8258.40,8167.36
12/02/2019,8309.26,--,8409.87,8409.87,8274.61
11/29/2019,8403.68,--,8422.02,8435.96,8402.13
11/27/2019,8444.71,--,8407.23,8445.61,8399.63
11/26/2019,8385.75,--,8374.26,8398.04,8364.11
11/25/2019,8371.93,--,8309.55,8372.82,8309.55
11/22/2019,8272.05,--,8287.25,8292.11,8229.49
11/21/2019,8265.62,--,8273.95,8282.33,8242.22
11/20/2019,8283.75,--,8315.55,8339.26,8226.25
11/19/2019,8338.74,--,8357.43,8357.80,8308.28
11/18/2019,8328.48,--,8303.22,8340.41,8274.68
11/15/2019,8315.52,--,8303.84,8315.90,8284.20
11/14/2019,8257.83,--,8238.85,8264.94,8212.59
11/13/2019,8259.81,--,8235.68,8274.61,8233.38
11/12/2019,8263.79,--,8249.62,8293.18,8238.33
11/11/2019,8241.91,--,8212.37,8245.89,8202.36
11/08/2019,8255.89,--,8208.37,8256.29,8186.31
11/07/2019,8219.65,--,8237.68,8271.82,8198.91
11/06/2019,8196.03,--,8204.34,8204.34,8157.36
11/05/2019,8210.18,--,8225.35,8229.09,8191.05
11/04/2019,8210.66,--,8218.93,8228.33,8197.32
11/01/2019,8161.17,--,8121.95,8161.98,8111.73
10/31/2019,8083.83,--,8100.62,8110.44,8041.65
10/30/2019,8083.11,--,8056.90,8096.33,8017.92
10/29/2019,8047.51,--,8101.55,8108.61,8045.64
10/28/2019,8110.67,--,8071.39,8119.73,8070.90
10/25/2019,8029.22,--,7926.60,8033.29,7926.60
10/24/2019,7966.72,--,7956.23,7969.66,7912.72
10/23/2019,7889.47,--,7858.48,7890.21,7845.09
10/22/2019,7874.62,--,7968.25,7977.01,7871.98
10/21/2019,7940.33,--,7911.58,7941.48,7887.74
10/18/2019,7868.49,--,7938.30,7946.81,7829.75
10/17/2019,7942.14,--,7976.64,7981.14,7914.94
10/16/2019,7920.21,--,7911.99,7941.76,7898.31
10/15/2019,7942.85,--,7867.96,7960.14,7863.65
10/14/2019,7842.33,--,7834.74,7865.67,7827.16
10/11/2019,7843.87,--,7835.93,7904.05,7831.11
10/10/2019,7740.36,--,7688.42,7772.68,7682.61
10/09/2019,7690.53,--,7678.66,7717.94,7655.48
10/08/2019,7604.27,--,7671.38,7707.17,7603.76
10/07/2019,7725.13,--,7725.68,7784.79,7712.68
10/04/2019,7754.10,--,7677.33,7759.36,7670.92
10/03/2019,7638.39,--,7557.19,7640.42,7463.57
10/02/2019,7550.79,--,7627.59,7631.34,7513.69
10/01/2019,7684.14,--,7782.82,7821.72,7675.42
09/30/2019,7749.45,--,7705.97,7761.84,7693.49
09/27/2019,7681.58,--,7786.03,7790.80,7626.82
09/26/2019,7771.99,--,7794.28,7798.12,7718.69
09/25/2019,7803.54,--,7706.50,7822.43,7647.63
09/24/2019,7710.04,--,7855.97,7873.25,7684.80
09/23/2019,7818.61,--,7815.23,7842.98,7790.29
09/20/2019,7823.55,--,7901.46,7920.53,7794.27
09/19/2019,7901.79,--,7904.39,7950.21,7888.31
09/18/2019,7888.56,--,7877.58,7891.17,7791.58
09/17/2019,7888.79,--,7849.88,7891.21,7840.99
09/16/2019,7852.41,--,7833.73,7868.74,7831.76
09/13/2019,7892.95,--,7903.73,7923.41,7879.59
09/12/2019,7917.34,--,7931.96,7975.33,7907.33
09/11/2019,7887.58,--,7820.71,7888.34,7812.07
09/10/2019,7814.74,--,7793.28,7817.58,7743.61
09/09/2019,7832.40,--,7876.40,7877.41,7795.86
09/06/2019,7852.54,--,7868.87,7874.99,7835.89
09/05/2019,7862.54,--,7803.45,7879.97,7803.45
09/04/2019,7719.25,--,7683.78,7724.91,7663.64
09/03/2019,7609.51,--,7634.03,7670.17,7584.82
08/30/2019,7691.00,--,7743.23,7747.08,7642.90
08/29/2019,7702.31,--,7678.69,7723.94,7654.31
08/28/2019,7587.90,--,7536.70,7598.15,7500.22
08/27/2019,7566.03,--,7630.46,7640.68,7531.96
08/26/2019,7575.02,--,7540.69,7577.77,7506.17
08/23/2019,7464.99,--,7658.48,7722.43,7442.93
08/22/2019,7707.43,--,7750.98,7764.79,7649.28
08/21/2019,7733.22,--,7731.75,7754.66,7706.57
08/20/2019,7664.47,--,7708.31,7731.31,7664.21
08/19/2019,7719.32,--,7715.41,7740.74,7688.09
08/16/2019,7604.11,--,7548.90,7622.73,7548.90
08/15/2019,7484.89,--,7503.14,7523.50,7429.36
08/14/2019,7490.13,--,7594.64,7621.70,7480.58
08/13/2019,7728.15,--,7553.43,7778.34,7553.33
08/12/2019,7561.68,--,7597.19,7623.44,7528.95
08/09/2019,7646.27,--,7684.56,7709.50,7591.14
08/08/2019,7724.83,--,7608.03,7726.46,7576.82
08/07/2019,7551.90,--,7436.14,7569.90,7386.39
08/06/2019,7521.32,--,7492.02,7541.74,7432.31
08/05/2019,7415.69,--,7510.02,7528.90,7356.27
08/02/2019,7692.80,--,7740.91,7755.09,7645.18
08/01/2019,7801.15,--,7866.60,8000.94,7769.02
07/31/2019,7848.78,--,7972.76,7979.20,7774.93
07/30/2019,7952.47,--,7927.56,7983.11,7923.45
07/29/2019,7989.08,--,8010.05,8010.05,7939.98
07/26/2019,8016.95,--,7992.13,8027.18,7986.72
07/25/2019,7929.87,--,7979.14,7983.96,7921.21
07/24/2019,8010.60,--,7928.78,8010.83,7926.99
07/23/2019,7954.56,--,7946.05,7955.09,7895.05
07/22/2019,7905.12,--,7862.38,7918.47,7862.27
07/19/2019,7834.90,--,7944.86,7950.22,7832.39
07/18/2019,7904.13,--,7850.12,7912.33,7827.49
07/17/2019,7888.76,--,7927.91,7941.10,7887.98
07/16/2019,7927.08,--,7958.44,7965.76,7904.95
07/15/2019,7966.93,--,7961.07,7969.79,7940.45
07/12/2019,7943.24,--,7908.58,7944.08,7900.39
07/11/2019,7896.78,--,7918.65,7934.60,7873.16
07/10/2019,7903.40,--,7869.73,7923.93,7858.68
07/09/2019,7826.86,--,7748.29,7833.92,7748.23
07/08/2019,7785.79,--,7790.46,7792.20,7756.11
07/05/2019,7841.30,--,7806.07,7854.71,7774.59
07/03/2019,7857.69,--,7819.06,7857.69,7811.29
07/02/2019,7799.82,--,7763.03,7800.47,7746.01
07/01/2019,7768.14,--,7816.56,7820.81,7735.67
06/28/2019,7671.07,--,7674.52,7682.26,7639.44
06/27/2019,7657.05,--,7656.68,7672.98,7636.72
06/26/2019,7627.05,--,7642.92,7688.64,7616.91
06/25/2019,7591.54,--,7720.91,7723.04,7584.17
06/24/2019,7723.02,--,7737.00,7746.68,7720.78
06/21/2019,7728.78,--,7719.42,7772.53,7708.25
06/20/2019,7738.05,--,7770.17,7770.61,7681.43
06/19/2019,7667.74,--,7652.52,7681.56,7606.28
06/18/2019,7635.40,--,7606.61,7689.08,7595.59
06/17/2019,7526.52,--,7500.28,7546.99,7492.17
06/14/2019,7479.11,--,7476.47,7500.74,7454.87
06/13/2019,7510.68,--,7500.85,7530.91,7487.09
06/12/2019,7472.29,--,7493.55,7507.52,7459.20
06/11/2019,7513.85,--,7584.75,7595.57,7489.99
