Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram,RSI
2023-08-15,2,15172.080078,15192.879883,15014.360352,15037.650391,15037.650391,4473320000,134.42968700000165,178.51953099999992,-0.008860333343147125,-0.011750210123082293,1,161.18066399999952,0,-33.88994140000013,4559308000.0,210.85583920515796,161.18066399999952,1,0.9811401203866903,15000,14876.469727,14715.80957,14694.839844,14936.69043,14908.959961,14984.62058527548,15043.987000483405,-59.366415207925456,-12.723897756939717,-46.642517450985736,37.58554383981314
2023-08-14,1,14988.419922,15206.259766,14972.009766,15205.589844,15205.589844,4272020000,-217.16992200000095,234.25,0.014489180522707333,-0.015404840085907553,1,167.93945300000087,0,15.312988299999962,4619842000.0,192.19535848436234,167.93945300000087,1,0.9247112780047456,15200,15037.650391,14876.469727,14715.80957,14694.839844,14936.69043,15018.615855848482,15055.957581484634,-37.34172563615175,-17.647463332782124,-19.694262303369626,43.02820393370503
2023-08-11,5,15010.519531,15102.530273,14973.669922,15028.070313,15028.070313,4638880000,-17.550782000000254,128.86035100000117,0.0011692321484112562,-0.00853236832972122,0,-177.51953099999992,1,8.62402349999993,4686724000.0,198.1376776031514,177.51953099999992,0,0.9897915900317578,15000,15205.589844,15037.650391,14876.469727,14715.80957,14694.839844,15020.070387717948,15053.89185789318,-33.82147017523312,-20.882264701272323,-12.939205473960794,39.314111532457616
2023-08-10,4,15217.290039,15366.290039,15072.490234,15128.839844,15128.839844,5299080000,88.45019499999944,293.79980499999874,-0.005812480065327842,-0.019119761780776495,1,100.76953099999992,0,31.239941399999953,4778250000.0,194.00549435308395,100.76953099999992,1,1.1090001569612307,15100,15028.070313,15205.589844,15037.650391,14876.469727,14715.80957,15036.804150222877,15059.44356056776,-22.6394103448838,-21.23369382999462,-1.4057165148891784,42.66941236999362
2023-08-09,3,15286.990234,15288.759766,15077.910156,15101.709961,15101.709961,5591360000,185.2802730000003,210.8496099999993,-0.01212012764866664,-0.013791152011486143,0,-27.12988299999961,0,-4.634960899999896,4924601000.0,162.9766424475279,27.12988299999961,0,1.1353935070069636,15100,15128.839844,15028.070313,15205.589844,15037.650391,14876.469727,15046.789659573204,15062.574405044223,-15.78474547101905,-20.143904158199508,4.359158687180457,43.800357383658806
2023-08-08,2,15279.410156,15295.799805,15148.25,15273.049805,15273.049805,5284550000,6.360350999999355,147.54980500000056,-0.00041626940667613,-0.0096464262661027,1,171.33984400000008,1,36.40898440000001,5024813000.0,148.39881706037468,171.33984400000008,1,1.0516908788446455,15200,15101.709961,15128.839844,15028.070313,15205.589844,15037.650391,15081.598912715786,15078.165175411317,3.433737304469105,-15.428375865665787,18.86211317013489,55.34419124913526
2023-08-07,1,15355.620117,15410.849609,15258.919922,15407.849609,15407.849609,4892330000,-52.22949200000039,151.92968700000165,0.003401327435951468,-0.009858618496365967,1,134.79980400000022,0,47.11591790000002,5077739000.0,151.5325167328578,134.79980400000022,1,0.9634859137108072,15400,15273.049805,15101.709961,15128.839844,15028.070313,15205.589844,15131.791327528743,15102.586244566033,29.20508296270964,-6.501684099990703,35.706767062700344,61.15948197643068
2023-08-04,5,15420.740234,15523.30957,15258.69043,15274.919922,15274.919922,5349450000,145.82031200000165,264.6191399999989,-0.009456116229653729,-0.01704656721601403,0,-132.92968700000165,0,58.0080077999999,5132493000.0,130.9738463673256,132.92968700000165,0,1.0422712705112311,15200,15407.849609,15273.049805,15101.709961,15128.839844,15028.070313,15153.811111293551,15115.351702153734,38.45940913981758,2.490534547970954,35.96887459184663,60.93942160967184
2023-08-03,4,15287.769531,15436.589844,15270.719727,15353.540039,15353.540039,6036970000,-65.77050799999961,165.8701170000004,0.004302165065128205,-0.010745256476738735,1,78.62011700000039,0,63.77304690000001,5208172000.0,130.43005952914953,78.62011700000039,1,1.159134145339286,15300,15274.919922,15407.849609,15273.049805,15101.709961,15128.839844,15184.538638633006,15132.995282660864,51.54335597214231,12.301098832805227,39.242257139337084,55.57601391876272
2023-08-02,3,15561.150391,15561.360352,15321.44043,15370.740234,15370.740234,5481960000,190.41015699999843,239.91992199999913,-0.0122362519618167,-0.015417670214748533,1,17.20019500000126,0,49.42705070000011,5131992000.0,126.41723081388645,17.20019500000126,1,1.0681934032632943,15300,15353.540039,15274.919922,15407.849609,15273.049805,15101.709961,15213.185037920237,15150.606019797095,62.579018123142305,22.356682690872645,40.22233543226966,64.24685228004913
2023-08-01,2,15696.980469,15748.429688,15636.570313,15718.009766,15718.009766,4633770000,-21.029296999999133,111.859375,0.001339703329664577,-0.007102890714572939,1,347.26953199999843,0,68.0359375,5148037000.0,155.130845532926,347.26953199999843,1,0.9001042533299586,15700,15370.740234,15353.540039,15274.919922,15407.849609,15273.049805,15290.850380701739,15192.635926923234,98.21445377850432,37.52823690839898,60.68621687010534,70.1352414592777
